Time,Max,Min,Open,Close
2020/1/2,3258.14,3235.53,3244.67,3257.85
2020/1/3,3246.15,3222.34,3226.36,3234.85
2020/1/6,3246.84,3214.64,3217.55,3246.28
2020/1/7,3244.91,3232.43,3241.86,3237.18
2020/1/8,3267.07,3236.67,3238.59,3253.05
2020/1/9,3275.58,3263.67,3266.03,3274.7
2020/1/10,3282.99,3260.86,3281.81,3265.35
2020/1/13,3288.13,3268.43,3271.13,3288.13
2020/1/14,3294.25,3277.19,3285.35,3283.15
2020/1/15,3298.66,3280.69,3282.27,3289.3
2020/1/16,3317.11,3302.82,3302.97,3316.81
2020/1/17,3329.88,3318.86,3323.66,3329.62
2020/1/21,3329.79,3316.61,3321.03,3320.79
2020/1/22,3337.77,3320.04,3330.02,3321.75
2020/1/23,3326.88,3301.87,3315.77,3325.54
2020/1/24,3333.18,3281.53,3333.1,3295.47
2020/1/27,3258.85,3234.5,3247.16,3243.63
2020/1/28,3285.78,3253.22,3255.35,3276.24
2020/1/29,3293.47,3271.89,3289.46,3273.4
2020/1/30,3285.91,3242.8,3256.45,3283.66
2020/1/31,3282.33,3214.68,3282.33,3225.52
2020/2/3,3268.44,3235.66,3235.66,3248.92
2020/2/4,3306.92,3280.61,3280.61,3297.59
2020/2/5,3337.58,3313.75,3324.91,3334.69
2020/2/6,3347.96,3334.39,3344.92,3345.78
2020/2/7,3341.42,3322.12,3335.54,3327.71
2020/2/10,3352.26,3317.77,3318.28,3352.09
2020/2/11,3375.63,3352.72,3365.87,3357.75
2020/2/12,3381.47,3369.72,3370.5,3379.45
2020/2/13,3385.09,3360.52,3365.9,3373.94
2020/2/14,3380.69,3366.15,3378.08,3380.16
2020/2/18,3375.01,3355.61,3369.04,3370.29
2020/2/19,3393.52,3378.83,3380.39,3386.15
2020/2/20,3389.15,3341.02,3380.45,3373.23
2020/2/21,3360.76,3328.45,3360.5,3337.75
2020/2/24,3259.81,3214.65,3257.61,3225.89
2020/2/25,3246.99,3118.77,3238.94,3128.21
2020/2/26,3182.51,3108.99,3139.9,3116.39
2020/2/27,3097.07,2977.39,3062.54,2978.76
2020/2/28,2959.72,2855.84,2916.9,2954.22
2020/3/2,3090.96,2945.19,2974.28,3090.23
2020/3/3,3136.72,2976.63,3096.46,3003.37
2020/3/4,3130.97,3034.38,3045.75,3130.12
2020/3/5,3083.04,2999.83,3075.7,3023.94
2020/3/6,2985.93,2901.54,2954.2,2972.37
2020/3/9,2863.89,2734.43,2863.89,2746.56
2020/3/10,2882.59,2734,2813.48,2882.23
2020/3/11,2825.6,2707.22,2825.6,2741.38
2020/3/12,2660.95,2478.86,2630.86,2480.63
2020/3/13,2711.33,2492.37,2569.99,2711.02
2020/3/16,2562.98,2380.94,2508.59,2386.13
2020/3/17,2553.93,2367.04,2425.66,2529.19
2020/3/18,2453.57,2280.52,2436.5,2398.1
2020/3/19,2466.97,2319.78,2393.48,2409.39
2020/3/20,2453.01,2295.56,2431.94,2304.92
2020/3/23,2300.73,2191.86,2290.71,2237.4
2020/3/24,2449.71,2344.44,2344.44,2447.33
2020/3/25,2571.42,2407.53,2457.77,2475.56
2020/3/26,2637.01,2500.72,2501.29,2630.07
2020/3/27,2615.91,2520.02,2555.87,2541.47
2020/3/30,2632.5,2544.83,2561.6,2625.1
2020/3/31,2641.39,2571.15,2614.69,2584.59
2020/4/1,2522.75,2447.49,2498.08,2470.5
2020/4/2,2533.22,2455.79,2458.54,2526.9
2020/4/3,2538.18,2459.96,2514.92,2488.65
2020/4/6,2676.85,2574.57,2578.28,2663.68
2020/4/7,2756.89,2657.67,2738.65,2659.41
2020/4/8,2760.75,2663.3,2685,2749.98
2020/4/9,2818.57,2762.36,2776.99,2789.82
2020/4/13,2782.46,2721.17,2782.46,2761.63
2020/4/14,2851.85,2805.1,2805.1,2846.06
2020/4/15,2801.88,2761.54,2795.64,2783.36
2020/4/16,2806.51,2764.32,2799.34,2799.55
2020/4/17,2879.22,2830.88,2842.43,2874.56
2020/4/20,2868.98,2820.43,2845.62,2823.16
2020/4/21,2785.54,2727.1,2784.81,2736.56
2020/4/22,2815.1,2775.95,2787.89,2799.31
2020/4/23,2844.9,2794.26,2810.42,2797.8
2020/4/24,2842.71,2791.76,2812.64,2836.74
2020/4/27,2887.72,2852.89,2854.65,2878.48
2020/4/28,2921.15,2860.71,2909.96,2863.39
2020/4/29,2954.86,2912.16,2918.46,2939.51
2020/4/30,2930.91,2892.47,2930.91,2912.43
2020/5/1,2869.09,2821.61,2869.09,2830.71
2020/5/4,2844.24,2797.85,2815.01,2842.74
2020/5/5,2898.23,2863.55,2868.88,2868.44
2020/5/6,2891.11,2847.65,2883.14,2848.42
2020/5/7,2901.92,2876.48,2878.26,2881.19
2020/5/8,2932.16,2902.88,2908.83,2929.8
2020/5/11,2944.25,2903.44,2915.46,2930.32
2020/5/12,2945.82,2869.59,2939.5,2870.12
2020/5/13,2874.14,2793.15,2865.86,2820
2020/5/14,2852.8,2766.64,2794.54,2852.5
2020/5/15,2865.01,2816.78,2829.95,2863.7
2020/5/18,2968.09,2913.86,2913.86,2953.91
2020/5/19,2964.21,2922.35,2948.59,2922.94
2020/5/20,2980.29,2953.63,2953.63,2971.61
2020/5/21,2978.5,2938.57,2969.95,2948.51
2020/5/22,2956.76,2933.59,2948.05,2955.45
2020/5/26,3021.72,2988.17,3004.08,2991.77
2020/5/27,3036.25,2969.75,3015.65,3036.13
2020/5/28,3068.67,3023.4,3046.61,3029.73
2020/5/29,3049.17,2998.61,3025.17,3044.31
2020/6/1,3062.18,3031.54,3038.78,3055.73
2020/6/2,3081.07,3051.64,3064.78,3080.82
2020/6/3,3130.94,3098.9,3098.9,3122.87
2020/6/4,3128.91,3090.41,3111.56,3112.35
2020/6/5,3211.72,3163.84,3163.84,3193.93
2020/6/8,3233.13,3196,3199.92,3232.39
2020/6/9,3222.71,3193.11,3213.32,3207.18
2020/6/10,3223.27,3181.49,3213.42,3190.14
2020/6/11,3123.53,2999.49,3123.53,3002.1
2020/6/12,3088.42,2984.47,3071.04,3041.31
2020/6/15,3079.76,2965.66,2993.76,3066.59
2020/6/16,3153.45,3076.06,3131,3124.74
2020/6/17,3141.16,3108.03,3136.13,3113.49
2020/6/18,3120,3093.51,3101.64,3115.34
2020/6/19,3155.53,3083.11,3140.29,3097.74
2020/6/22,3120.92,3079.39,3094.42,3117.86
2020/6/23,3154.9,3127.12,3138.7,3131.29
